S/N,Autoclave,Form Filled By,Form Filled At,Machine Idle,Batch ID,BT- Recipe,Shift,Supervisor,Operator,Batch Start Time (HH:MM),Loading Temp (°C),Loading Pressure (kg/cm2),Loading Time (HH:MM),Loading Duration (HH:MM),Close Top Door Temp (°C),Close Top Door Pressure (kg/cm2),Close Top Door Time (HH:MM),Heat Valve Open Temp (°C),Heat Valve Open Pressure (kg/cm2),Heat Valve Open Time (HH:MM),Steam Valve Open Temp (°C),Steam Valve Open Pressure (kg/cm2),Steam Valve Open Time (HH:MM),Steam Valve Close Temp (°C),Steam Valve Close Pressure (kg/cm2),Steam Valve Close Time (HH:MM),Heat Valve Close Temp (°C),Heat Valve Close Pressure (kg/cm2),Heat Valve Close Time (HH:MM),Low TF Temp Duration(Mins) (Below 260°C),Cooking Start Time (HH:MM),Cooking Stop Time (HH:MM),Cooking Duration (HH:MM),Discharge Valve Open Temp (°C),Discharge Valve Open Pressure (kg/cm2),Discharge Valve Open Time (HH:MM),Discharge Start Time (HH:MM),Discharge Stop Time (HH:MM),Discharge Duration (HH:MM),Cooling Valve Open Temp(°C),Cooling Valve Open Pressure (kg/cm2),Cooling Valve Open Time (HH:MM),Cooling Valve Close Temp(°C),Cooling Valve Close Pressure (kg/cm2),Cooling Valve Close Time (HH:MM),Cooling Duration (HH:MM),Waiting Temp(°C),Waiting Pressure (kg/cm2),Waiting Time (HH:MM),Top door ( sample collect ) Temp(°C),Top door ( sample collect ) Pressure (kg/cm2),Top door ( sample collect ) Time (HH:MM),Sampling End Time (HH:MM),Sampling Duration (HH:MM),Bottom Door Open Temp(°C),Bottom Door Open Pressure (kg/cm2),Bottom Door Open Time (HH:MM),Unload Complete Temp(°C),Unload Complete Pressure (kg/cm2),Unload Complete Time (HH:MM),Unloading Duration (HH:MM),Bottom Door Close Temp(°C),Bottom Door Close Pressure (kg/cm2),Bottom Door Close Time (HH:MM),Comment,Customer,Batch kWh,Standard Batch Duration(Hrs),Actual Batch Duration (Mins),Batch End Time (HH:MM)
89,AC10,operator5_sl02@grpweb.com,2026-01-29 07:02:26.391,,BT-040206-0,BT- Recipe1,Shift 3,Other,Dhasade,0:29,0,0.0,0:0,00:00:00,0,0.0,0:0,95,0.06,0:49,97,0.5,1:22,130,5.16,1:40,223,15.84,5:10,235,0:49,5:9,04:20:00,0,0,0:0,0:0,0:0,00:00:00,210,0.76,5:17,95,0.08,0:49,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,107,0.17,6:10,0,0.0,0:0,00:50:00,0,0.0,0:0,,Pirelli,,5,390,0:0
90,AC10,operator4_sl02@grpweb.com,2026-01-29 00:26:02.630,,BT-040202-0,BT- Recipe1,Shift 3,Other,Dhasade,18:46,0,0.0,0:0,00:00:00,0,0.0,0:0,0,0.0,0:0,98,0.43,19:15,128,5.22,19:23,220,3.31,22:59,236,0:0,22:58,04:11:00,0,0,0:0,0:0,0:0,00:00:00,220,2.37,22:59,0,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,109,0.02,23:56,100,0.03,0:0,00:27:00,100,0.03,0:0,,Pirelli,,5,337,0:0
91,AC10,operator5_sl02@grpweb.com,2026-01-28 18:21:28.629,,BT-040200-0,BT- Recipe1,Shift 2,Chavan,shinde,10:1,110,0.11,10:2,01:50:00,97,0.11,10:17,87,0.16,12:50,101,0.29,13:24,140,7.54,13:38,224,13.81,17:1,243,12:50,17:0,04:08:00,0,0,0:0,0:0,0:0,00:00:00,222,5.48,17:2,0,0.1,10:20,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,106,0.28,17:55,0,0.0,0:0,00:23:00,0,0.0,0:0,,Pirelli,,5,497,0:0
92,AC10,operator4_sl02@grpweb.com,2026-01-28 10:01:01.866,,BT-040197-0,BT- Recipe1,Shift 1,Rangrez,Dixit,3:42,91,0.11,3:58,01:31:00,91,0.09,3:58,90,0.0,4:0,93,0.66,4:30,117,4.38,4:40,221,15.01,7:59,238,4:0,7:58,03:58:00,0,0,0:0,0:0,0:0,00:00:00,211,0.38,8:3,0,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,107,0.1,9:0,102,0.09,9:55,00:54:00,102,0.09,9:55,,Pirelli,,5,372,9:55
93,AC10,operator5_sl02@grpweb.com,2026-01-27 22:18:32.715,,BT-040187-0,BT- Recipe1,Shift 2,Chavan,shinde,16:55,0,0.0,0:0,00:00:00,0,0.0,0:0,0,0.0,0:0,92,0.2,17:23,177,16.67,18:33,228,12.52,20:54,163,0:0,20:53,03:58:00,0,0,0:0,0:0,0:0,00:00:00,227,10.33,20:55,110,0.05,22:17,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,102,0.1,21:48,108,0.01,22:15,00:26:00,108,0.01,22:15,,Pirelli,,5,320,22:15
94,AC10,operator5_sl02@grpweb.com,2026-01-27 16:33:06.135,,BT-040184-0,BT- Recipe1,Shift 2,Chavan,shinde,8:15,0,0.0,0:0,00:00:00,0,0.0,0:0,41,0.07,8:16,60,0.3,9:1,95,5.75,9:14,219,5.73,13:36,316,8:16,13:33,05:16:00,0,0,0:0,0:0,0:0,00:00:00,217,2.71,13:37,0,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,103,0.04,15:30,94,0.06,16:27,00:57:00,94,0.06,16:27,,Pirelli,,5,491,16:27
95,AC10,operator5_sl02@grpweb.com,2026-01-26 04:12:06.506,,BT-040182-0,BT- Recipe1,Shift 3,Gadagi,Methre,22:29,113,0.0,22:30,01:53:00,99,0.05,22:48,99,0.0,22:50,101,0.71,23:20,129,5.2,23:31,227,14.75,2:43,231,22:50,2:42,03:51:00,0,0,0:0,0:0,0:0,00:00:00,224,2.0,2:45,106,0.01,22:49,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,108,0.09,3:37,105,0.03,4:9,00:32:00,105,0.03,4:9,,Pirelli,,5,339,4:9
96,AC10,operator5_sl02@grpweb.com,2026-01-25 22:29:02.804,,BT-040179-0,BT- Recipe1,Shift 2,Gadagi,Dhasade,17:2,114,0.03,17:2,01:54:00,99,0.16,17:21,98,0.07,17:22,103,0.77,17:53,136,6.38,18:2,210,0.14,21:8,224,17:22,21:7,03:44:00,0,0,0:0,0:0,0:0,00:00:00,213,0.1,21:6,99,0.06,17:22,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,113,0.07,21:53,109,0.03,0:0,00:34:00,109,0.03,0:0,,Pirelli,,5,325,0:0
97,AC10,operator5_sl02@grpweb.com,2026-01-25 17:01:32.771,,BT-040176-0,BT- Recipe1,Shift 2,Other,Dhasade,11:10,104,0.03,11:10,01:44:00,92,0.07,11:27,89,0.08,11:30,133,5.7,12:14,137,6.24,12:18,227,15.87,15:26,219,11:30,15:25,03:54:00,0,0,0:0,0:0,0:0,00:00:00,212,0.09,15:32,91,0.09,11:30,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,111,0.18,16:27,108,0.01,16:58,00:30:00,108,0.01,16:58,,Pirelli,,5,348,16:58
98,AC10,operator5_sl02@grpweb.com,2026-01-25 11:09:21.210,,BT-040172-0,BT- Recipe1,Shift 1,Other,Dixit,5:9,94,0.08,5:11,01:34:00,85,0.0,5:28,84,0.04,5:29,92,1.14,6:2,123,4.75,6:10,224,15.69,9:30,213,5:29,9:29,03:58:00,0,0,0:0,0:0,0:0,00:00:00,209,0.12,9:36,0,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,104,0.02,10:30,98,0.07,11:5,00:35:00,98,0.07,11:5,,Pirelli,,5,355,11:5
99,AC10,operator5_sl02@grpweb.com,2026-01-25 05:08:01.088,,BT-040169-0,BT- Recipe1,Shift 3,Gadagi,Methre,23:10,0,0.0,0:0,0:0,90,0.14,23:31,90,0.1,23:33,95,0.36,0:4,130,5.35,0:15,223,15.35,3:35,212,23:33,3:34,04:01:00,0,0,0:0,0:0,0:0,00:00:00,220,3.53,3:38,0,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,96,0.04,4:28,0,0.0,0:0,00:37:00,0,0.0,0:0,,Pirelli,,5,355,0:0
100,AC10,operator5_sl02@grpweb.com,2026-01-24 23:02:28.761,,BT-040162-0,BT- Recipe1,Shift 2,Other,Dhasade,17:2,98,0.07,17:24,23:0,98,0.03,17:25,96,0.01,17:26,97,0.21,17:51,127,5.15,18:0,226,15.12,21:28,211,17:26,21:27,04:01:00,0,0,0:0,0:0,0:0,00:00:00,217,0.87,21:32,111,0.11,17:26,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,101,0.15,22:16,111,0.15,23:0,00:43:00,111,0.15,23:0,,Pirelli,,5,357,23:0
101,AC10,operator5_sl02@grpweb.com,2026-01-24 17:01:16.770,,BT-040161-0,BT- Recipe1,Shift 2,Other,Dhasade,11:10,94,0.09,11:30,0:0,93,0.1,11:30,91,0.12,11:33,88,0.13,11:59,125,4.31,12:12,226,17.2,15:34,234,11:33,15:33,04:00:00,0,0,0:0,0:0,0:0,00:00:00,218,1.66,15:37,92,0.07,11:32,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,100,0.06,16:24,104,0.04,0:0,00:35:00,104,0.04,0:0,,Pirelli,,5,349,0:0
102,AC10,operator5_sl02@grpweb.com,2026-01-24 11:09:33.308,,BT-040154-0,BT- Recipe1,Shift 1,Other,Dixit,4:1,98,0.05,4:2,0:0,90,0.03,4:20,84,0.08,4:52,97,0.27,5:26,129,4.6,5:36,225,15.57,9:11,258,4:52,9:10,04:18:00,0,0,0:0,0:0,0:0,00:00:00,205,0.58,9:19,0,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,102,0.15,10:39,96,0.08,0:0,00:28:00,96,0.08,0:0,,Other,,5,426,0:0
103,AC10,operator5_sl02@grpweb.com,2026-01-24 04:00:50.580,,BT-040152-0,BT- Recipe1,Shift 3,Gadagi,Methre,22:1,103,0.05,22:22,3:58,103,0.0,22:22,95,0.05,22:38,100,0.32,23:6,131,5.03,23:16,226,15.55,2:15,131,22:38,2:14,03:36:00,0,0,0:0,0:0,0:0,00:00:00,219,1.29,2:18,95,0.0,22:38,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,100,0.19,3:20,92,0.05,3:58,00:38:00,92,0.05,3:58,,Pirelli,,5,356,3:58
104,AC10,operator5_sl02@grpweb.com,2026-01-23 21:59:08.410,,BT-040146-0,BT- Recipe1,Shift 2,Other,Dhasade,15:54,0,0.0,0:0,0:0,91,0.12,16:13,88,0.06,16:41,110,0.33,17:33,142,6.06,17:45,225,13.96,20:12,94,16:41,20:11,03:35:00,0,0,0:0,0:0,0:0,00:00:00,216,1.48,20:15,216,1.48,20:15,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,120,0.18,21:16,0,0.0,0:0,00:40:00,0,0.0,0:0,,Pirelli,,5,362,0:0
105,AC10,operator5_sl02@grpweb.com,2026-01-23 08:39:05.913,,BT-040141-0,BT- Recipe1,Shift 1,Other,Dixit,1:40,94,0.05,1:42,0:0,85,0.04,2:3,80,0.11,2:29,91,0.3,3:0,122,5.06,3:10,222,14.31,6:22,169,2:29,6:21,03:52:00,0,0,0:0,0:0,0:0,00:00:00,220,2.99,6:27,0,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,103,0.07,7:59,0,0.0,0:0,00:37:00,0,0.0,0:0,,Pirelli,,5,416,0:0
106,AC10,operator5_sl02@grpweb.com,2026-01-23 01:40:22.379,,BT-040138-0,BT- Recipe1,Shift 3,Gadagi,Methre,19:10,102,0.07,19:25,0:0,100,0.18,19:28,92,0.14,19:59,92,0.39,20:27,130,5.28,20:44,227,14.65,23:25,70,19:59,23:24,03:24:00,0,0,0:0,0:0,0:0,00:00:00,223,2.15,23:27,112,0.03,19:11,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,99,0.04,1:0,0,0.0,0:0,00:37:00,0,0.0,0:0,,Other,,5,386,0:0
107,AC10,operator10_sl02@grpweb.com,2026-01-22 19:09:53.481,,BT-040135-0,BT- Recipe1,Shift 2,Other,Dhasade,13:50,115,0.07,13:51,0:0,105,0.05,14:8,97,0.08,14:13,99,0.8,14:40,136,5.9,15:3,224,10.93,17:47,110,14:13,17:46,03:32:00,0,0,0:0,0:0,0:0,00:00:00,217,0.5,17:50,114,0.04,13:50,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,102,0.1,18:37,0,0.0,0:0,00:30:00,0,0.0,0:0,,Pirelli,,5,318,0:0
108,AC10,operator10_sl02@grpweb.com,2026-01-22 13:48:32.989,,BT-040133-0,BT- Recipe1,Shift 1,Rangrez,Dixit,8:0,85,0.06,8:18,0:0,85,0.04,8:18,80,0.04,8:23,89,0.38,8:58,133,5.4,9:11,226,17.27,12:21,171,8:23,12:20,03:57:00,0,0,0:0,0:0,0:0,00:00:00,209,0.17,12:29,209,0.17,12:29,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,126,0.14,13:17,0,0.0,0:0,00:30:00,0,0.0,0:0,,Other,,5,346,0:0
109,AC10,operator4_sl02@grpweb.com,2026-01-22 07:58:02.829,,BT-040130-0,BT- Recipe1,Shift 1,Rangrez,Dixit,0:9,86,0.01,7:53,7:53,86,0.01,7:53,227,14.42,4:52,87,0.39,0:29,210,15.29,4:24,225,11.53,4:53,278,4:52,4:52,04:42:00,0,0,0:0,0:0,0:0,00:00:00,226,12.91,4:53,0,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,100,0.04,7:15,86,0.01,7:53,00:38:00,86,0.01,7:53,,Pirelli,,5,464,7:53
110,AC10,operator4_sl02@grpweb.com,2026-01-21 23:46:20.769,,BT-040128-0,BT- Recipe1,Shift 3,Gadagi,shinde,17:6,121,0.02,17:8,0:0,107,0.07,17:25,103,0.0,18:21,106,0.77,18:52,132,5.38,19:3,220,16.92,21:53,159,18:21,21:52,03:30:00,0,0,0:0,0:0,0:0,00:00:00,208,0.23,21:57,106,0.07,17:46,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,104,0.07,23:19,0,0.0,0:0,00:24:00,0,0.0,0:0,,Pirelli,,5,397,0:0
111,AC10,operator10_sl02@grpweb.com,2026-01-21 17:06:05.565,,BT-040125-0,BT- Recipe1,Shift 2,Other,Dhasade,23:16,111,0.08,23:16,0:0,104,0.08,23:34,91,0.13,23:42,96,0.27,0:5,133,5.77,0:19,225,16.25,3:24,140,23:42,3:23,03:41:00,0,0,0:0,0:0,0:0,00:00:00,214,0.65,3:30,91,0.08,23:41,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,104,0.04,16:35,0,0.0,0:0,00:28:00,0,0.0,0:0,,Pirelli,,5,349,0:0
112,AC10,operator10_sl02@grpweb.com,2026-01-21 11:07:27.052,,BT-040123-0,BT- Recipe1,Shift 1,Rangrez,Dixit,17:54,0,0.0,0:0,0:0,0,0.0,0:0,99,0.0,17:55,101,1.99,18:25,138,7.91,18:33,220,15.34,21:25,129,17:55,21:24,03:28:00,0,0,0:0,0:0,0:0,00:00:00,205,0.19,21:32,0,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,117,0.07,22:32,103,0.06,0:0,00:36:00,103,0.06,0:0,,Pirelli,,5,313,0:0
113,AC10,operator10_sl02@grpweb.com,2026-01-21 05:25:02.586,,BT-040120-0,BT- Recipe1,Shift 3,Gadagi,shinde,12:6,118,0.04,12:6,17:24,104,0.12,12:19,103,0.01,12:21,101,0.72,12:48,180,15.56,13:44,217,15.31,15:49,170,12:21,15:48,03:27:00,0,0,0:0,0:0,0:0,00:00:00,198,0.05,15:55,200,0.16,15:54,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,103,0.07,16:54,103,0.07,17:24,00:30:00,103,0.07,17:24,,Pirelli,,5,318,17:24
114,AC10,operator10_sl02@grpweb.com,2026-01-21 00:00:43.014,,BT-040118-0,BT- Recipe1,Shift 3,Gadagi,shinde,6:32,101,0.0,6:47,11:59,95,0.03,6:52,94,0.0,6:53,95,0.49,7:16,121,4.44,7:29,221,18.16,10:25,189,6:53,10:24,03:30:00,0,0,0:0,0:0,0:0,00:00:00,208,1.16,10:29,95,0.0,6:53,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,116,0.07,11:30,110,0.08,11:59,00:28:00,110,0.08,11:59,,Pirelli,,5,326,11:59
115,AC10,operator10_sl02@grpweb.com,2026-01-20 18:29:40.901,,BT-07579-0,BT- Recipe1,Shift 2,Other,Dhasade,9:0,99,0.07,9:3,6:27,80,0.07,9:31,146,0.17,3:21,154,2.97,3:28,172,11.31,3:40,189,9.33,4:15,320,3:21,4:14,05:20:00,0,0,0:0,0:0,0:0,00:00:00,179,0.49,4:18,147,0.19,3:21,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,104,0.03,5:53,102,0.04,6:27,00:34:00,102,0.04,6:27,,Pirelli,,5,558,6:27
116,AC10,operator4_sl02@grpweb.com,2026-01-20 08:57:45.169,,BT-07578-0,BT- Recipe1,Shift 1,Rangrez,Methre,1:37,0,0.0,0:0,0:0,0,0.0,0:0,0,0.0,0:0,93,1.65,2:9,123,10.59,2:35,233,13.62,5:59,261,0:0,5:58,04:21:00,0,0,0:0,0:0,0:0,00:00:00,215,0.07,6:9,0,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,117,0.07,7:40,0,0.0,0:0,01:09:00,0,0.0,0:0,,Other,,5,432,0:0
117,AC10,operator5_sl02@grpweb.com,2026-01-15 09:05:19.757,,BT-07572-0,BT- Recipe1,Shift 1,Suryvanshi,Rajput,2:40,103,0.16,8:56,8:56,103,0.16,8:56,91,0.08,3:8,95,1.46,3:36,111,3.61,3:43,227,15.45,6:55,214,3:8,6:54,03:45:00,0,0,0:0,0:0,0:0,00:00:00,215,0.19,7:1,215,0.19,7:1,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,121,0.04,8:1,103,0.16,8:56,00:55:00,103,0.16,8:56,,Pirelli,,5,376,8:56
118,AC10,operator5_sl02@grpweb.com,2026-01-15 02:45:28.527,,BT-07572-0,BT- Recipe1,Shift 3,Other,Dhasade,19:58,125,0.0,19:59,2:35,103,0.0,20:25,103,0.08,20:27,114,0.43,21:10,149,7.1,21:22,220,9.04,0:23,109,20:27,0:22,03:54:00,0,0,0:0,0:0,0:0,00:00:00,213,0.12,0:26,0,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,100,0.05,1:50,101,0.07,2:35,00:45:00,101,0.07,2:35,,Pirelli,,5,397,2:35
119,AC10,operator5_sl02@grpweb.com,2026-01-14 20:01:39.695,,BT-07571-0,BT- Recipe1,Shift 2,Gadagi,Dixit,14:38,0,0.0,0:0,19:52,0,0.0,0:0,0,0.0,0:0,107,0.19,15:9,130,4.19,15:20,221,0.1,18:42,197,0:0,18:41,04:02:00,0,0,0:0,0:0,0:0,00:00:00,218,0.05,18:43,0,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,107,0.08,19:16,115,0.0,19:52,00:35:00,115,0.0,19:52,,Pirelli,,5,314,19:52
120,AC10,operator5_sl02@grpweb.com,2026-01-12 09:52:21.212,,BT-040088-0,BT- Recipe1,Shift 1,Rangrez,shinde,3:10,0,0.0,0:0,9:34,0,0.0,0:0,0,0.0,0:0,103,0.81,3:17,133,6.03,3:25,227,17.87,6:10,155,0:0,6:9,02:58:00,0,0,0:0,0:0,0:0,00:00:00,213,0.05,6:16,0,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,101,0.06,9:8,94,0.03,9:34,00:25:00,94,0.03,9:34,,Pirelli,,5,383,9:34
121,AC10,operator5_sl02@grpweb.com,2026-01-11 22:00:10.878,,BT-07545-0,BT- Recipe1,Shift 2,Other,Methre,16:30,110,0.01,16:30,0:0,93,0.0,16:57,92,0.05,16:58,102,0.65,17:31,132,5.94,17:42,223,12.03,20:22,118,16:58,20:21,03:22:00,0,0,0:0,0:0,0:0,00:00:00,222,2.17,20:24,222,2.17,20:24,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,109,0.01,21:21,110,0.01,0:0,00:30:00,110,0.01,0:0,,Other,,5,322,0:0
122,AC10,operator5_sl02@grpweb.com,2026-01-11 09:06:40.004,,BT-040073-0,BT- Recipe1,Shift 1,Rangrez,Dhasade,3:48,112,0.03,3:49,0:0,100,0.02,4:8,98,0.0,4:10,96,0.08,4:38,131,5.18,4:50,223,16.88,7:30,198,4:10,7:29,03:18:00,0,0,0:0,0:0,0:0,00:00:00,219,14.51,7:31,0,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,122,0.03,8:29,0,0.0,0:0,00:29:00,0,0.0,0:0,,Pirelli,,5,310,0:0
123,AC10,operator5_sl02@grpweb.com,2026-01-11 03:47:56.112,,BT-040068-0,BT- Recipe1,Shift 3,Gadagi,Dixit,22:10,110,0.04,22:10,0:0,87,0.03,22:30,87,0.02,22:31,104,0.69,23:1,143,6.51,23:18,225,16.94,2:5,204,22:31,2:4,03:33:00,0,0,0:0,0:0,0:0,00:00:00,202,0.07,2:13,93,0.21,22:45,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,104,0.04,3:8,103,0.02,0:0,00:32:00,103,0.02,0:0,,Pirelli,,5,330,0:0
124,AC10,operator5_sl02@grpweb.com,2026-01-10 16:19:12.870,,BT-040059-0,BT- Recipe1,Shift 2,Other,Tamplur,10:35,96,0.15,10:38,0:0,93,0.15,10:49,93,0.12,10:50,92,0.23,11:12,128,5.55,11:23,223,15.49,14:22,202,10:50,14:21,03:30:00,0,0,0:0,0:0,0:0,00:00:00,206,0.15,14:26,122,5.17,11:18,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,115,0.09,15:39,0,0.0,0:0,00:31:00,0,0.0,0:0,,Pirelli,,5,335,0:0
125,AC10,operator5_sl02@grpweb.com,2026-01-10 10:30:37.748,,BT-040055-0,BT- Recipe1,Shift 1,Rangrez,Dhasade,5:0,110,0.14,5:2,0:0,102,0.03,5:19,99,0.08,5:22,101,0.13,5:51,125,6.17,6:2,221,12.95,8:52,209,5:22,8:51,03:29:00,0,0,0:0,0:0,0:0,00:00:00,207,0.31,8:59,94,0.05,5:24,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,112,0.12,9:51,0,0.0,0:0,00:30:00,0,0.0,0:0,,Pirelli,,5,321,0:0
126,AC10,operator5_sl02@grpweb.com,2026-01-10 05:05:14.869,,BT-040051-0,BT- Recipe1,Shift 3,Gadagi,Dixit,23:39,97,0.07,23:57,0:0,96,0.04,23:57,94,0.04,0:0,98,0.75,0:30,131,5.48,0:42,224,16.93,3:34,213,0:0,3:33,03:33:00,0,0,0:0,0:0,0:0,00:00:00,205,0.1,3:44,0,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,108,0.11,4:27,0,0.0,0:0,00:31:00,0,0.0,0:0,,Pirelli,,5,319,0:0
127,AC10,operator5_sl02@grpweb.com,2026-01-09 23:42:47.987,,BT-040048-0,BT- Recipe1,Shift 3,Gadagi,Dixit,18:10,109,0.06,18:11,23:36,96,0.05,18:29,95,0.08,18:30,100,0.51,18:58,120,3.47,19:19,227,14.83,22:13,221,18:30,22:12,03:41:00,0,0,0:0,0:0,0:0,00:00:00,221,1.6,22:16,0,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,99,0.06,23:11,102,0.08,23:36,00:25:00,102,0.08,23:36,,Pirelli,,5,325,23:36
128,AC10,operator5_sl02@grpweb.com,2026-01-09 11:32:59.929,,BT-040039-0,BT- Recipe1,Shift 1,Shille,Dhasade,6:9,108,0.06,6:9,11:26,99,0.05,6:26,92,0.09,6:29,95,0.69,6:59,130,4.89,7:15,226,17.56,9:58,207,6:29,9:57,03:27:00,0,0,0:0,0:0,0:0,00:00:00,214,1.17,10:8,97,0.06,6:28,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,106,0.07,10:54,110,0.17,11:26,00:31:00,110,0.17,11:26,,Pirelli,,5,316,11:26
129,AC10,operator5_sl02@grpweb.com,2026-01-09 06:12:03.985,,BT-040036-0,BT- Recipe1,Shift 3,Gadagi,Dixit,0:49,113,0.03,0:50,6:4,102,0.03,1:13,99,0.03,1:15,100,0.86,1:45,136,6.61,1:57,225,16.09,4:40,200,1:15,4:39,03:23:00,0,0,0:0,0:0,0:0,00:00:00,209,0.04,4:46,97,0.02,1:15,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,115,0.11,5:39,100,0.1,6:4,00:25:00,100,0.1,6:4,,Other,,5,315,6:4
130,AC10,operator5_sl02@grpweb.com,2026-01-09 00:53:50.291,,BT-07532-0,BT- Recipe1,Shift 3,Gadagi,Dixit,18:40,90,0.03,18:41,0:0,78,0.02,19:21,77,0.02,19:23,85,0.59,19:54,112,4.02,20:5,222,16.01,23:2,217,19:23,23:1,03:37:00,0,0,0:0,0:0,0:0,00:00:00,208,0.08,23:8,0,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,121,0.07,0:17,108,0.05,0:0,00:29:00,108,0.05,0:0,,Other,,5,366,0:0
131,AC10,operator5_sl02@grpweb.com,2026-01-08 11:29:55.267,,BT-040029-0,BT- Recipe1,Shift 1,Rangrez,Dhasade,5:29,105,0.07,5:29,11:23,93,0.09,5:45,91,0.0,5:49,91,0.6,6:18,125,5.05,6:29,225,13.75,9:26,210,5:49,9:25,03:36:00,0,0,0:0,0:0,0:0,00:00:00,213,0.47,9:29,0,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,119,0.1,10:54,104,0.11,11:23,00:28:00,104,0.11,11:23,,Pirelli,,5,354,11:23
132,AC10,operator5_sl02@grpweb.com,2026-01-07 09:37:40.082,,BT-040024-0,BT- Recipe1,Shift 1,Shille,Dhasade,3:19,87,0.0,3:49,9:0,87,0.04,3:49,86,0.08,3:50,92,0.58,4:21,129,6.87,4:31,222,12.81,7:59,247,3:50,7:58,04:07:00,0,0,0:0,0:0,0:0,00:00:00,214,0.31,8:2,0,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,99,0.11,8:58,98,0.14,9:0,00:02:00,98,0.14,9:0,,Pirelli,,5,341,9:0
133,AC10,operator5_sl02@grpweb.com,2026-01-07 03:17:25.723,,BT-040020-0,BT- Recipe1,Shift 3,Shille,Methre,22:1,0,0.0,0:0,3:9,0,0.0,0:0,92,0.03,22:1,92,0.12,22:25,134,5.15,22:41,223,14.58,1:39,216,22:1,1:38,03:36:00,0,0,0:0,0:0,0:0,00:00:00,215,1.15,1:42,0,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,106,0.06,2:36,92,0.06,3:9,00:33:00,92,0.06,3:9,,Pirelli,,5,308,3:9
134,AC10,operator5_sl02@grpweb.com,2026-01-06 21:41:58.036,,BT-040016-0,BT- Recipe1,Shift 2,Gadagi,shinde,16:25,0,0.0,0:0,21:35,0,0.0,0:0,0,0.0,0:0,73,0.33,16:55,74,6.04,17:3,221,12.52,19:54,207,0:0,19:53,03:27:00,0,0,0:0,0:0,0:0,00:00:00,221,11.42,19:54,0,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,98,0.04,20:56,95,0.07,21:35,00:38:00,95,0.07,21:35,,Pirelli,,5,308,21:35
